event.master_deck,event.relics,event.victory,event.character_chosen,event.items_purchased,event.ascension_level,event.gold_per_floor,event.potions_obtained
"[""Strike_B"",""Strike_B"",""Strike_B"",""Strike_B"",""Defend_B"",""Defend_B"",""Defend_B"",""Defend_B"",""Zap"",""Dualcast"",""Cold Snap"",""Rainbow"",""Self Repair"",""Consume""]","[""Cracked Core"",""Torii"",""Happy Flower"",""Centennial Puzzle""]",false,DEFECT,[],5,"[109,109,119,119,44,74,74,74]","[{""floor"":3,""key"":""Ancient Potion""}]"
"[""Defend_R"",""Defend_R"",""Bash"",""Double Tap+1"",""Armaments+1"",""Clash"",""Berserk+1"",""Sword Boomerang"",""Warcry"",""Anger"",""Immolate"",""Flame Barrier"",""Bite"",""Bite"",""Bite"",""Bite"",""Bite"",""Flex"",""Anger""]","[""Burning Blood"",""Kunai"",""Shuriken"",""Bronze Scales"",""White Beast Statue"",""Sundial""]",false,IRONCLAD,[],6,"[112,37,47,60,10,10,35,35,35,35,49,76,94,104,104,209,209,222,222,222,222,241,241,241,241,241,241,266,278,278,293,293,293,293]","[{""floor"":3.0,""key"":""LiquidBronze""},{""floor"":11.0,""key"":""SmokeBomb""},{""floor"":14.0,""key"":""FearPotion""},{""floor"":16.0,""key"":""FairyPotion""},{""floor"":18,""key"":""Explosive Potion""},{""floor"":22,""key"":""FearPotion""},{""floor"":28,""key"":""SpeedPotion""},{""floor"":29,""key"":""Swift Potion""},{""floor"":31,""key"":""Ancient Potion""}]"
"[""Strike_R"",""Strike_R"",""Strike_R"",""Strike_R"",""Defend_R"",""Defend_R+1"",""Defend_R+1"",""Inflame+1"",""Rage+1"",""Iron Wave+1"",""Shockwave+1"",""Reaper+1"",""Flame Barrier"",""Thunderclap"",""Anger+1"",""RitualDagger"",""Cleave"",""Pommel Strike+1""]","[""Burning Blood"",""War Paint"",""Boot"",""Mark of Pain"",""Orichalcum"",""Art of War"",""Bag of Preparation"",""Red Mask"",""Vajra""]",false,IRONCLAD,"[""Orichalcum"",""Vajra""]",2,"[111,121,46,64,64,64,75,75,101,101,101,126,126,144,144,248,248,266,266,116,128,147,182,182,182,207,218,249,3,3,21,21,21,21]","[{""floor"":2,""key"":""Ancient Potion""},{""floor"":4,""key"":""SkillPotion""},{""floor"":12,""key"":""Energy Potion""},{""floor"":19,""key"":""Regen Potion""},{""floor"":19,""key"":""GamblersBrew""},{""floor"":22,""key"":""SkillPotion""},{""floor"":27,""key"":""Swift Potion""}]"
"[""Strike_B"",""Strike_B"",""Strike_B"",""Strike_B"",""Defend_B"",""Defend_B"",""Defend_B"",""Defend_B"",""Zap"",""Dualcast"",""Defragment"",""Ball Lightning"",""Darkness"",""Buffer"",""Sweeping Beam"",""Gash"",""Sweeping Beam"",""Barrage"",""Echo Form"",""Creative AI"",""Go for the Eyes"",""Auto Shields+1""]","[""Cracked Core"",""Pantograph"",""Cables"",""Nuclear Battery"",""Pear""]",false,DEFECT,"[""Ball Lightning"",""Pear"",""AttackPotion""]",0,"[112,112,86,86,101,127,142,153,153,165,165,165,181,198,198,303,303,317,14,33,33,33,33]","[{""floor"":1,""key"":""AttackPotion""},{""floor"":6,""key"":""FearPotion""},{""floor"":8,""key"":""Dexterity Potion""},{""floor"":13,""key"":""FearPotion""},{""floor"":20,""key"":""Energy Potion""}]"
"[""Strike_R"",""Strike_R"",""Strike_R"",""Strike_R"",""Strike_R"",""Defend_R"",""Defend_R"",""Defend_R"",""Defend_R"",""Bash""]","[""Empty Cage""]",false,IRONCLAD,[],0,"[99,99]",[]
"[""Strike_B"",""Strike_B"",""Strike_B"",""Strike_B"",""Defend_B"",""Defend_B"",""Defend_B"",""Defend_B"",""Zap"",""Dualcast"",""FTL"",""White Noise+1"",""Conserve Battery"",""Storm""]","[""Cracked Core"",""Golden Idol"",""Tiny Chest""]",false,DEFECT,[],4,"[110,120,120,120,138,138,156,180,210,210,210]","[{""floor"":1,""key"":""Ancient Potion""},{""floor"":2,""key"":""Strength Potion""},{""floor"":4,""key"":""Energy Potion""}]"
"[""Strike_B"",""Defend_B"",""Zap"",""Dualcast"",""Static Discharge+1"",""Ball Lightning+1"",""Defragment+1"",""Go for the Eyes"",""Tempest"",""Barrage"",""Core Surge"",""Capacitor"",""Force Field"",""Flash of Steel""]","[""Sozu"",""PreservedInsect"",""Turnip"",""Omamori"",""Strawberry"",""Shuriken"",""Empty Cage""]",false,DEFECT,"[""Tempest"",""Force Field""]",8,"[113,63,63,63,63,94,94,114,163,163,196,42,42,53,53,155,155,166,166,93,93,93,93,93]",[]
"[""Defend_B"",""Defend_B"",""Defend_B"",""Defend_B"",""Zap"",""Dualcast"",""Fusion"",""Chill"",""Cold Snap"",""Self Repair"",""Streamline+1"",""Coolheaded"",""Sweeping Beam"",""Defragment+1"",""Streamline+1"",""Streamline+1"",""Sweeping Beam""]","[""Cracked Core"",""Boot"",""Emotion Chip"",""WarpedTongs"",""Peace Pipe"",""Question Card"",""Pen Nib"",""Calling Bell"",""Anchor"",""Toxic Egg 2"",""Dead Branch"",""Juzu Bracelet"",""Smiling Mask""]",false,DEFECT,"[""Self Repair"",""Defragment""]",3,"[15,190,47,47,63,63,94,94,94,109,138,157,18,45,45,148,148,158,33,123,142,155,155,185,185,211,211,161,161,161]","[{""floor"":10,""key"":""Energy Potion""},{""floor"":11,""key"":""Energy Potion""},{""floor"":12,""key"":""SpeedPotion""},{""floor"":16,""key"":""Swift Potion""},{""floor"":22,""key"":""LiquidBronze""}]"
"[""Strike_B"",""Strike_B"",""Strike_B"",""Strike_B"",""Defend_B"",""Defend_B"",""Defend_B"",""Defend_B"",""Zap"",""Dualcast""]","[""Cracked Core"",""NeowsBlessing""]",false,DEFECT,[],2,"[99,99]",[]
"[""Strike_R"",""Strike_R"",""Strike_R"",""Strike_R"",""Strike_R"",""Defend_R"",""Defend_R"",""Defend_R+1"",""Defend_R"",""Bash"",""Clash"",""Clash+1"",""Pummel+1"",""Sword Boomerang+1"",""Inflame"",""Dual Wield+1""]","[""Burning Blood"",""NeowsBlessing"",""Anchor"",""Meat on the Bone"",""Charon's Ashes"",""Toolbox"",""Busted Crown"",""Lee's Waffle"",""Peace Pipe"",""Orichalcum"",""Frozen Egg 2"",""Bronze Scales"",""Centennial Puzzle""]",false,IRONCLAD,"[""Toolbox"",""Lee's Waffle"",""Bronze Scales""]",0,"[110,126,126,126,142,173,173,191,191,221,241,40,56,76,76,178,178,189,199,233,268,59,93,93,93,117,127,153,168,23,72,72,72,72]","[{""floor"":5,""key"":""GamblersBrew""},{""floor"":6,""key"":""Ancient Potion""},{""floor"":8,""key"":""SkillPotion""},{""floor"":16,""key"":""Dexterity Potion""},{""floor"":19,""key"":""Swift Potion""},{""floor"":23,""key"":""SpeedPotion""},{""floor"":28,""key"":""FearPotion""}]"
